fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed acidity volatile acidity,fixed acidity citric acid,fixed acidity residual sugar,fixed acidity chlorides,fixed acidity free sulfur dioxide,fixed acidity total sulfur dioxide,fixed acidity density,fixed acidity pH,quality
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,1.9580000000000002,4.272,16.02,0.6853,258.1,534.0,8.87152,30.171000000000003,6
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,2.964,2.356,17.479999999999997,0.6232,174.79999999999998,539.6,7.58632,26.752,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3.3970000000000002,1.659,12.64,0.8374,79.0,292.3,7.87314,25.043,5
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,4.165,0.935,19.549999999999997,0.7140000000000001,76.5,569.5,8.4728,26.945,5
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,2.7600000000000002,0.9660000000000002,16.56,0.5865,144.9,276.0,6.8779200000000005,23.667,6
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,2.457,1.008,8.819999999999999,0.504,69.3,144.9,6.27165,21.041999999999998,5
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,3.1159999999999997,1.8239999999999998,13.68,0.608,30.4,83.6,7.57112,24.927999999999997,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,3.3970000000000002,1.659,12.64,0.8374,79.0,292.3,7.87314,25.043,5
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5.0409999999999995,0.0,13.489999999999998,0.568,99.39999999999999,248.5,7.080119999999999,24.637,5
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,5.031,0.0,15.6,0.6396000000000001,62.4,124.8,7.77192,26.363999999999997,6
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,4.522500000000001,0.4690000000000001,16.08,0.5962999999999999,113.9,549.4,6.671860000000001,22.445,5
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,4.726500000000001,0.0,17.25,0.7245,151.8,255.3,6.87654,23.874000000000002,6
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5.4365000000000006,0.996,19.09,0.6889000000000001,124.50000000000001,937.9000000000001,8.271780000000001,26.311,5
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,4.1745,0.828,73.83,0.5037,276.0,572.7,6.89517,23.805000000000003,6
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,1.6640000000000001,1.3,9.360000000000001,0.5356,67.60000000000001,260.0,5.17764,17.576,5
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,5.031,0.0,42.9,0.6708,39.0,140.4,7.78908,26.52,6
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,4.68,1.092,18.72,0.6708,23.4,117.0,7.7805,26.676,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,3.078,2.2680000000000002,17.01,0.5346,105.3,243.0,8.07408,26.163,7
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,6.441,0.513,8.55,0.9803999999999999,39.9,108.3,5.6658,19.95,4
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,3.285,2.6279999999999997,43.07,0.5402,87.6,635.1,7.28394,24.309,5
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,3.285,2.6279999999999997,43.07,0.5402,87.6,635.1,7.28394,24.309,5
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,5.368,2.64,24.64,0.7744,149.60000000000002,404.8,8.778880000000001,28.688,4
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,3.675,1.5,19.5,2.49,60.0,105.0,7.476,24.075,6
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5.346,1.782,17.82,0.5589000000000001,72.89999999999999,186.29999999999998,8.07408,26.729999999999997,5
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,4.556,0.136,12.24,0.34,34.0,74.8,6.774159999999999,23.663999999999998,5
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,2.392,0.69,9.66,0.24839999999999998,36.8,299.0,4.56964,17.939999999999998,4
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,7.1995000000000005,3.311,16.94,0.8778,169.4,877.8000000000001,7.6769,25.025000000000002,5
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,2.5229999999999997,4.524,13.92,0.9831,104.39999999999999,321.9,8.673029999999999,28.275,5
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,2.5600000000000005,1.4720000000000002,10.240000000000002,0.42240000000000005,32.0,76.80000000000001,6.37312,21.376,5
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,1.736,2.072,7.839999999999999,0.41439999999999994,67.19999999999999,537.5999999999999,5.57424,18.592,5
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5.808000000000001,2.2880000000000003,14.96,0.6512,35.2,202.4,8.77448,27.720000000000002,5
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,3.432,0.264,14.52,0.4554,52.8,99.0,6.57096,22.439999999999998,6
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,3.3,0.264,13.86,0.44880000000000003,39.599999999999994,92.39999999999999,6.5703,22.374,6
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,3.268,3.0959999999999996,25.799999999999997,0.6966,258.0,1023.4,8.5742,27.52,5
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,3.876,1.14,21.279999999999998,0.836,250.79999999999998,554.8,7.5658,24.092,6
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,4.774,0.308,29.259999999999998,0.6468,192.5,346.5,7.68306,25.718,5
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,4.284,5.813999999999999,34.68,0.714,40.8,102.0,10.17042,31.008,5
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,4.725,0.8999999999999999,38.25,0.8325,375.0,825.0,7.4872499999999995,24.45,5
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,4.601999999999999,1.404,17.939999999999998,0.5928,132.6,421.2,7.7805,26.754,5
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,2.847,2.263,17.52,0.5402,65.7,335.8,7.272259999999999,24.893,6
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,3.5200000000000005,3.5200000000000005,19.360000000000003,0.6952,167.20000000000002,457.6,8.7824,30.272000000000002,5
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5.313,3.773,13.860000000000001,0.8855000000000001,154.0,862.4,7.67536,24.717,5
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,3.9000000000000004,1.2,14.25,0.6375000000000001,90.0,262.5,7.476,25.349999999999998,7
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5.145,0.35000000000000003,14.0,0.5670000000000001,91.0,378.0,6.9762,23.73,5
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.22,0.36000000000000004,33.480000000000004,0.6192,28.8,79.2,7.17264,24.552000000000003,5
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.22,0.36000000000000004,33.480000000000004,0.6192,28.8,79.2,7.17264,24.552000000000003,5
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,3.9000000000000004,0.825,11.25,0.5925,82.5,292.5,7.476,25.65,5
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,4.653,0.462,10.56,0.5015999999999999,39.599999999999994,99.0,6.57492,22.703999999999997,5
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,2.9760000000000004,5.301,18.6,0.6882,251.10000000000002,604.5,9.271170000000001,30.504,5
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,5.64,0.4,15.2,0.592,64.0,152.0,7.9696,26.72,6
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,4.851,0.616,14.629999999999999,0.5852,115.5,207.9,7.67459,25.564,6
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5.159000000000001,1.7710000000000001,16.17,0.6776,130.9,739.2,7.67074,25.564,5
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5.313,1.694,14.629999999999999,0.6468,138.6,723.8000000000001,7.66997,25.487000000000002,5
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,5.602500000000001,2.1580000000000004,17.430000000000003,0.6972000000000002,91.30000000000001,356.90000000000003,8.280080000000002,27.473000000000003,4
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,3.1039999999999996,5.2379999999999995,24.25,0.9117999999999999,271.59999999999997,805.0999999999999,9.684479999999999,31.815999999999995,5
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,3.608,5.632000000000001,19.360000000000003,0.8184,79.2,369.6,8.787680000000002,31.152000000000005,5
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,3.608,5.632000000000001,19.360000000000003,0.8184,79.2,369.6,8.787680000000002,31.152000000000005,5
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,5.338,0.0,16.32,0.7071999999999999,95.2,204.0,6.77688,23.936,6
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5.025,0.8039999999999999,13.4,0.5761999999999999,80.4,536.0,6.671860000000001,22.646,5
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,5.1875,1.6600000000000001,12.450000000000001,0.664,224.10000000000002,987.7,8.276760000000001,26.228000000000005,4
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,2.79,1.2400000000000002,9.920000000000002,0.42780000000000007,18.6,93.0,6.17396,21.142000000000003,5
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,3.354,5.46,14.819999999999999,3.6192,171.6,522.6,7.779719999999999,24.413999999999998,5
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,3.7,3.4779999999999998,14.8,0.6364,155.4,540.2,7.377800000000001,24.864,5
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,4.891,1.898,13.14,2.9273000000000002,116.8,372.3,7.2773699999999995,23.068,5
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,1.89,3.024,11.34,0.43470000000000003,113.39999999999999,384.3,6.27417,21.672,6
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,3.7950000000000004,1.035,15.180000000000001,0.5244,131.1,276.0,6.87309,23.529000000000003,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,4.2139999999999995,2.408,16.34,0.946,172.0,1169.6,8.57592,25.198,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,3.773,2.0020000000000002,14.629999999999999,0.4774,69.3,238.70000000000002,7.67382,26.103,5
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,3.6270000000000002,4.0920000000000005,19.53,0.9951000000000001,316.20000000000005,1162.5,9.27954,29.202,5
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,4.34,0.56,12.6,0.532,56.0,168.0,6.9846,24.36,5
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,4.1080000000000005,2.0540000000000003,15.01,0.6241,331.8,1106.0,7.87156,25.517,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,4.2139999999999995,2.408,16.34,0.946,172.0,1169.6,8.57592,25.198,6
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,4.2139999999999995,2.4939999999999998,17.2,0.946,163.4,1143.8,8.57592,25.198,5
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,3.773,2.0020000000000002,14.629999999999999,0.4774,69.3,238.70000000000002,7.67382,26.103,5
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,5.1,0.2,7.0,0.22499999999999998,205.0,425.0,4.969,18.75,4
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,2.82,0.799,10.809999999999999,0.2726,79.9,498.20000000000005,4.66804,18.095000000000002,6
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5.27,0.0,20.4,0.6935999999999999,54.4,156.4,6.7762,23.46,5
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,3.5,1.75,14.0,0.49000000000000005,21.0,154.0,6.9741,22.75,5
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,6.84,0.45599999999999996,19.0,0.6003999999999999,38.0,76.0,7.57492,25.764,5
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,4.4145,1.458,15.389999999999999,0.648,105.3,283.5,8.07732,26.729999999999997,6
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,5.063000000000001,2.49,17.430000000000003,0.6972000000000002,91.30000000000001,415.00000000000006,8.276760000000001,28.220000000000002,6
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,3.9,2.34,14.819999999999999,0.585,62.4,171.6,7.76802,25.818,6
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,4.4145,1.458,15.389999999999999,0.648,105.3,283.5,8.07732,26.729999999999997,6
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,4.6575,1.782,17.01,0.6236999999999999,97.19999999999999,526.5,8.073269999999999,26.648999999999997,5
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,3.528,1.728,15.840000000000002,0.5040000000000001,36.0,259.2,7.1712,23.976000000000003,5
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,4.6575,1.782,17.01,0.6236999999999999,97.19999999999999,526.5,8.073269999999999,26.648999999999997,5
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,3.198,5.304,13.26,3.6426000000000003,140.4,538.1999999999999,7.7789399999999995,24.024,5
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,3.906,1.922,10.54,0.5456,93.0,396.8,6.18078,21.452,5
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,2.64,4.24,20.0,0.728,144.0,640.0,7.9808,26.96,6
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,6.3585,4.212,16.2,0.9882,299.7,1239.3,8.07489,26.000999999999998,5
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,4.368,1.482,14.04,0.8111999999999999,93.6,366.59999999999997,7.77192,24.881999999999998,5
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5.208,0.756,18.480000000000004,0.7056000000000001,92.4,907.2,8.36976,26.46,5
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5.04,0.8400000000000001,18.480000000000004,0.7140000000000001,117.60000000000001,932.4000000000001,8.36976,26.46,5
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,3.131,4.444,23.229999999999997,0.8079999999999999,222.2,464.59999999999997,10.08788,33.532,6
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,4.368,1.482,14.04,0.8111999999999999,93.6,366.59999999999997,7.77192,24.881999999999998,5
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,3.7600000000000002,2.914,20.680000000000003,0.846,122.2,582.8000000000001,9.36804,28.858,6
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,4.482000000000001,2.3240000000000003,15.770000000000001,0.6391,91.30000000000001,332.0,8.281740000000001,28.137000000000004,6
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,4.368,0.9359999999999999,15.6,0.6396000000000001,54.6,218.4,7.7766,26.286,6
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,4.840000000000001,0.35200000000000004,19.360000000000003,1.0472000000000001,123.20000000000002,492.80000000000007,8.76656,28.248,6
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,4.83,0.56,12.6,0.679,154.0,623.0,6.9713,23.38,6
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,7.811,0.6569999999999999,12.41,1.2993999999999999,73.0,649.6999999999999,7.272259999999999,24.09,5
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,4.840000000000001,0.35200000000000004,19.360000000000003,1.0472000000000001,123.20000000000002,492.80000000000007,8.76656,28.248,6
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5.073499999999999,0.0,18.25,0.5475,21.9,94.89999999999999,7.2854,25.477,5
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5.68,0.0,20.8,0.64,88.0,272.0,7.9808,27.52,5
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,3.9,1.326,12.48,0.6396000000000001,163.79999999999998,795.6,7.7688,26.442,5
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5.58,0.36,17.099999999999998,1.3139999999999998,243.0,810.0,8.9856,28.44,5
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,10.905999999999999,0.0,13.939999999999998,0.6642,24.599999999999998,98.39999999999999,8.17048,28.945999999999994,5
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,10.773,0.0,14.58,0.6642,24.299999999999997,97.19999999999999,8.070839999999999,28.674,5
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,4.72,1.28,14.4,0.52,24.0,128.0,7.9696,27.36,7
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,2.318,0.9149999999999999,10.98,0.4391999999999999,36.599999999999994,115.89999999999999,6.07255,20.862,5
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5.96,4.48,16.0,0.944,240.0,1072.0,7.9744,25.92,5
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,2.8,0.504,12.879999999999999,0.2744,95.19999999999999,554.4,5.5647199999999994,20.328,5
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,2.8,0.504,12.879999999999999,0.2744,95.19999999999999,554.4,5.5647199999999994,20.328,5
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,3.3,0.066,9.899999999999999,0.39599999999999996,112.19999999999999,171.6,6.568319999999999,22.439999999999998,6
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,8.216000000000001,0.395,17.380000000000003,0.6636000000000001,102.7,229.10000000000002,7.86761,25.438000000000002,6
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,6.258,0.924,15.959999999999999,0.756,134.4,529.2,8.370600000000001,26.796,5
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5.9345,1.245,14.940000000000001,0.7387,83.0,431.6,8.27344,26.809,5
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,2.988,2.592,14.4,0.5832,93.60000000000001,324.0,7.1798399999999996,25.056,5
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,4.368,1.482,16.38,0.6318,117.0,819.0,7.770359999999999,25.974,5
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,4.368,1.482,15.6,0.6318,132.6,842.4,7.770359999999999,25.895999999999997,5
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,6.258,0.924,15.959999999999999,0.756,134.4,529.2,8.370600000000001,26.796,5
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5.9345,1.245,14.940000000000001,0.7387,83.0,431.6,8.27344,26.809,5
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,1.7680000000000002,0.0,9.360000000000001,0.26,140.4,327.6,5.15632,19.136000000000003,6
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,2.457,0.504,10.709999999999999,0.4158,18.9,126.0,6.271019999999999,21.041999999999998,5
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,1.7680000000000002,0.0,9.360000000000001,0.26,140.4,327.6,5.15632,19.136000000000003,6
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5.4270000000000005,4.455,14.58,0.9477,259.2,1142.1,8.07408,25.677,5
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,3.944,0.11599999999999999,10.44,0.5045999999999999,121.8,545.1999999999999,5.767519999999999,20.532,5
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,3.7239999999999998,1.976,12.16,1.7935999999999999,76.0,668.8,7.57568,23.636,5
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,3.3810000000000002,0.6900000000000001,15.87,0.5106,82.80000000000001,207.0,6.87171,23.598,6
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,3.28,3.6079999999999997,22.959999999999997,0.7297999999999999,90.19999999999999,352.59999999999997,8.179499999999999,28.945999999999994,6
